2326 485 34.25 479 15.81 1778 476 27.94 468 19.14
2726 484 36.22 480 18.73 1780 477 29.28 471 18.68
2216 487 32.67 481 13.58 1858 481 28.59 481 20.46
2357 484 33.94 484 16.66 2027 476 33.60 472 20.99
1995 486 28.95 483 13.17 2441 479 33.96 476 27.34
2512 487 36.68 488 17.35 1737 479 29.60 476 19.87
2062 486 30.04 483 13.39 2005 475 30.37 474 20.83
2214 484 33.09 485 18.41 2346 480 36.17 473 25.24
2398 486 34.91 485 17.79 2018 479 33.06 475 22.68
2330 487 35.43 484 15.89 2572 478 39.04 475 26.43
2197 486 32.36 487 19.15 2273 478 37.16 475 24.21
1957 487 32.55 487 14.38 1956 482 31.95 478 21.53
2069 489 31.61 486 13.26 1786 483 31.11 480 19.31
2160 491 29.12 489 13.17 1669 481 28.86 478 17.73
2082 491 32.06 484 13.11 2039 481 31.83 475 22.40
2105 489 33.88 488 14.57 2171 483 33.85 478 21.99
2223 494 34.21 488 13.86 2017 487 28.93 479 21.44
2135 495 33.17 490 15.25 1830 484 28.71 484 20.11
2224 492 33.69 489 13.90 1762 486 30.11 482 19.56
2332 492 33.29 489 13.79 1859 485 30.13 482 20.27
2386 491 34.24 491 16.18 2304 488 36.39 483 26.63
2303 490 34.07 491 14.47 1834 487 28.03 480 20.62
1990 491 34.78 491 12.74 1683 487 28.52 483 19.18
2589 495 32.90 492 15.86 1754 487 27.59 489 17.78
2469 496 33.85 493 16.14 1836 488 30.16 481 19.29
1760 496 29.80 493 12.51 2278 490 34.63 486 24.93
2379 495 30.35 493 16.24 1938 489 32.17 486 21.25
2333 497 34.73 496 16.31 1951 487 30.52 484 22.21
2522 497 36.07 495 16.12 1939 494 31.05 492 21.30
2513 497 35.99 494 16.07 2132 487 32.56 485 23.26
2284 496 32.97 499 14.22 1843 488 29.16 485 20.19
2040 495 35.58 494 15.25 2062 487 33.38 484 22.07
2214 497 33.70 495 14.78 1975 489 32.46 490 22.07
2434 495 33.36 498 14.05 1948 489 29.34 489 18.69
2656 491 34.18 495 17.07 1971 484 30.63 488 21.08
2192 494 31.60 496 15.09 1936 490 30.73 486 20.98
2536 502 35.74 496 15.89 1929 485 31.26 486 23.23
2221 503 33.15 500 14.59 1636 487 29.76 487 18.12
2280 490 35.11 498 16.15 1998 485 33.24 487 21.18
2188 498 33.29 500 14.36 2340 487 33.80 489 24.14
2154 501 35.89 503 15.68 2178 486 28.38 491 21.99
3090 501 38.04 503 18.30 2135 488 33.48 491 21.88
2357 497 34.20 503 16.46 3043 489 43.69 490 34.37
2662 501 38.37 508 17.64 2331 487 31.43 493 23.50
1886 505 30.52 498 13.23 2288 489 32.02 492 22.59
1957 514 29.89 505 13.85 2678 490 35.09 490 27.25
2068 507 32.29 506 12.69 2000 488 30.30 495 22.44
2389 501 35.02 508 15.64 1982 490 28.00 493 20.81
2168 504 35.04 507 16.45 2079 492 28.64 493 23.64
1969 510 29.84 506 15.23 1878 492 29.35 492 22.20
2300 501 33.59 508 17.44 2052 491 31.69 495 22.90
3065 510 35.54 506 21.04 2040 492 32.61 492 23.99
2182 513 34.20 512 16.98 1943 494 31.15 494 21.79
2390 505 34.92 507 20.67 2545 493 36.38 492 26.45
2059 505 33.71 508 14.48 2015 493 27.45 498 19.11
2242 508 33.73 508 15.12 1898 499 29.58 500 19.18
2303 508 31.85 511 13.67 1694 501 28.89 502 19.81
2270 509 35.35 509 16.60 1991 503 29.46 500 20.83
2157 507 29.71 510 15.17 2423 495 37.40 500 24.11
2323 505 35.04 515 16.38 2140 495 32.75 501 24.32
2381 500 35.49 503 15.83 2061 496 31.42 501 24.34
2767 510 35.36 514 18.22 1839 497 28.86 499 20.59
2072 508 32.38 510 15.16 2134 503 31.24 505 21.95
2171 509 34.76 514 16.89 2085 502 31.95 501 23.06
2095 510 33.72 511 16.96 1785 498 25.86 502 18.57
2199 510 33.90 513 12.81 1961 502 29.95 511 21.84
