367	4.59	370	4.93	5459	359	14.19	395	13.05	319	366	27.91	387	15.91	5517	355	12.43	394	12.96	317	363	26.45	374	16.55
359	4.86	374	4.97	5490	349	14.48	390	12.82	329	353	28.31	378	15.65	5540	348	14.19	399	13.03	319	356	27.86	375	17.88
353	4.52	370	4.36	5154	344	13.96	396	12.86	311	353	23.08	378	15.06	5495	354	14.11	397	12.01	320	362	26.62	379	15.98
364	4.10	373	4.44	5485	358	14.47	399	12.79	311	362	33.74	380	15.47	5597	350	14.74	396	12.93	297	355	27.83	387	17.89
359	4.25	386	4.98	4904	357	21.06	401	16.91	322	388	26.97	383	15.52	5538	384	14.66	407	12.59	316	390	26.53	386	18.61
374	4.35	378	5.33	5597	366	13.72	386	11.39	322	372	27.87	378	15.75	5568	365	14.15	394	13.04	323	377	26.79	370	17.92
368	4.16	371	4.90	5412	368	14.00	388	12.16	313	375	25.03	383	15.40	5511	374	13.09	396	11.50	320	376	27.47	391	16.64
372	4.40	380	4.82	5509	366	14.49	380	13.75	313	378	26.54	374	15.79	5484	373	13.68	379	13.55	314	375	27.56	370	17.11
365	4.45	369	3.96	5539	356	13.48	377	13.30	319	369	28.69	376	15.87	5237	364	13.79	377	12.81	313	365	27.26	375	17.33
354	4.52	377	4.20	5548	337	14.26	379	13.26	320	350	26.69	368	15.48	5444	340	12.42	384	13.01	318	351	28.19	372	17.04
358	4.26	358	4.83	5444	347	10.75	378	13.15	330	356	24.38	365	14.50	5580	345	12.61	384	12.94	318	356	24.67	380	16.14
355	4.45	374	5.26	5530	352	16.32	389	12.47	314	363	24.84	373	15.88	5574	362	16.30	383	12.77	318	368	27.28	369	18.95
362	4.48	360	4.62	5596	354	15.18	388	12.60	308	362	26.65	381	15.25	5554	360	13.76	387	13.58	315	361	27.30	378	16.13
373	3.93	377	3.90	5462	369	11.33	382	13.49	319	373	25.25	385	15.01	5625	367	13.47	386	12.16	327	377	26.87	382	17.36
371	4.08	384	4.63	5568	369	15.29	375	12.09	314	377	27.16	370	14.92	5682	370	13.12	373	12.65	322	369	25.44	367	15.10
376	4.28	382	5.03	5523	364	13.99	385	12.63	316	377	27.64	382	15.45	5565	373	14.60	391	12.91	326	377	28.08	385	16.61
